,Pick1,Pick2,Pick3,Result
747,211.0,211.0,211.0,1.0
748,205.0,405.0,705.0,1.0
749,114.0,114.0,114.0,0.0
750,611.0,611.0,611.0,1.0
751,206.0,206.0,206.0,1.0
752,113.0,203.0,203.0,-1.0
753,113.0,207.0,311.0,0.0
754,214.0,214.0,214.0,1.0
755,209.0,209.0,209.0,0.0
756,112.0,112.0,112.0,0.0
757,111.0,114.0,114.0,0.0
758,202.0,202.0,202.0,0.0
759,307.0,307.0,311.0,0.0
760,211.0,211.0,313.0,0.0
761,214.0,214.0,314.0,1.0
762,214.0,314.0,714.0,-1.0
763,202.0,202.0,202.0,1.0
